word
3M
A. O. Smith
ADM
ADP
AES Corporation
AMD
APA Corporation
AT&T
AbbVie
Abbott
Accenture
Activision Blizzard
Adobe Inc.
Advance Auto Parts
Aflac
Agilent Technologies
Air Products and Chemicals
Akamai
Alaska Air Group
Albemarle Corporation
Alexandria Real Estate Equities
Align Technology
Allegion
Alliant Energy
Allstate
Alphabet Inc. (Class A)
Alphabet Inc. (Class C)
Altria
Amazon
Amcor
Ameren
American Airlines Group
American Electric Power
American Express
American International Group
American Tower
American Water Works
Ameriprise Financial
AmerisourceBergen
Ametek
Amgen
Amphenol
Analog Devices
Ansys
Aon
Apple Inc.
Applied Materials
Aptiv
Arch Capital Group
Arista Networks
Arthur J. Gallagher & Co.
Assurant
Atmos Energy
AutoZone
Autodesk
AvalonBay Communities
Avery Dennison
Axon Enterprise
BNY Mellon
Baker Hughes
Ball Corporation
Bank of America
"Bath & Body Works, Inc."
Baxter International
Becton Dickinson
Berkley
Berkshire Hathaway Class B
Best Buy
Bio-Rad
Bio-Techne
Biogen
BlackRock
Boeing
Booking Holdings
BorgWarner
Boston Properties
Boston Scientific
Bristol Myers Squibb
Broadcom Inc.
Broadridge Financial Solutions
Brown & Brown
Brown-Forman Class B
Bunge Limited
C.H. Robinson
CBRE Group
CDW
CF Industries
CME Group
CMS Energy
CSX
CVS Health
Cadence Design Systems
Caesars Entertainment
Camden Property Trust
Campbell Soup Company
Capital One
CarMax
Cardinal Health
Carnival
Carrier Global
Catalent
Caterpillar Inc.
Cboe Global Markets
Celanese
Centene Corporation
CenterPoint Energy
Ceridian
Charles River Laboratories
Charles Schwab Corporation
Charter Communications
Chevron Corporation
Chipotle Mexican Grill
Chubb Limited
Church & Dwight
Cigna
Cincinnati Financial
Cintas
Cisco
Citigroup
Citizens Financial Group
Clorox
CoStar Group
Coca-Cola Company (The)
Cognizant
Colgate-Palmolive
Comcast
Comerica
Conagra Brands
ConocoPhillips
Consolidated Edison
Constellation Brands
Constellation Energy
CooperCompanies
Copart
Corning Inc.
Corteva
Costco
Coterra
Crown Castle
Cummins
D.R. Horton
DISH Network Corp
DTE Energy
DXC Technology
DaVita Inc.
Danaher Corporation
Darden Restaurants
Delta Air Lines
Dentsply Sirona
Devon Energy
Dexcom
Diamondback Energy
Digital Realty
Discover Financial
Disney
Dollar General
Dollar Tree
Dominion Energy
Domino's
Dover Corporation
Dow Inc.
DuPont
Duke Energy
EOG Resources
EPAM Systems
EQT
Eastman Chemical Company
Eaton Corporation
Ecolab
Edison International
Edwards Lifesciences
Electronic Arts
Elevance Health
Eli Lilly and Company
Emerson Electric
Enphase
Entergy
Equifax
Equinix
Equity Residential
Essex Property Trust
Estée Lauder Companies (The)
Etsy
Everest Re
Evergy
Eversource
Exelon
Expedia Group
Expeditors International
Extra Space Storage
ExxonMobil
"F5, Inc."
FIS
FMC Corporation
FactSet
Fair Isaac
Fastenal
FedEx
Federal Realty
Fifth Third Bank
First Solar
FirstEnergy
Fiserv
Fleetcor
Ford Motor Company
Fortinet
Fortive
Fox Corporation (Class A)
Fox Corporation (Class B)
Franklin Templeton
Freeport-McMoRan
GE HealthCare
Garmin
Gartner
Gen Digital
Generac
General Dynamics
General Electric
General Mills
General Motors
Genuine Parts Company
Gilead Sciences
Global Payments
Globe Life
Goldman Sachs
HCA Healthcare
HP Inc.
Halliburton
Hartford (The)
Hasbro
Healthpeak
Henry Schein
Hershey's
Hess Corporation
Hewlett Packard Enterprise
Hilton Worldwide
Hologic
Home Depot (The)
Honeywell
Hormel Foods
Host Hotels & Resorts
Howmet Aerospace
Humana
Huntington Bancshares
Huntington Ingalls Industries
IBM
IDEX Corporation
IQVIA
Idexx Laboratories
Illinois Tool Works
Illumina
Incyte
Ingersoll Rand
Insulet
Intel
Intercontinental Exchange
International Flavors & Fragrances
International Paper
Interpublic Group of Companies (The)
Intuit
Intuitive Surgical
Invesco
Invitation Homes
Iron Mountain
J.B. Hunt
J.M. Smucker Company (The)
JPMorgan Chase
Jack Henry & Associates
Jacobs Solutions
John Deere
Johnson & Johnson
Johnson Controls
Juniper Networks
KLA Corporation
Kellogg's
Keurig Dr Pepper
KeyCorp
Keysight
Kimberly-Clark
Kimco Realty
Kinder Morgan
Kraft Heinz
Kroger
L3Harris
LKQ Corporation
LabCorp
Lam Research
Lamb Weston
Las Vegas Sands
Leidos
Lennar
Lincoln Financial
Linde plc
Live Nation Entertainment
Lockheed Martin
Loews Corporation
Lowe's
LyondellBasell
M&T Bank
MGM Resorts
MSCI
Marathon Oil
Marathon Petroleum
MarketAxess
Marriott International
Marsh McLennan
Martin Marietta Materials
Masco
Mastercard
Match Group
McCormick & Company
McDonald's
McKesson
Medtronic
Merck & Co.
MetLife
Meta Platforms
Mettler Toledo
Microchip Technology
Micron Technology
Microsoft
Mid-America Apartment Communities
Moderna
Mohawk Industries
Molina Healthcare
Molson Coors Beverage Company
Mondelez International
Monolithic Power Systems
Monster Beverage
Moody's Corporation
Morgan Stanley
Mosaic Company (The)
Motorola Solutions
NRG Energy
"NVR, Inc."
NXP Semiconductors
"Nasdaq, Inc."
NetApp
Netflix
Newell Brands
Newmont
News Corp (Class A)
News Corp (Class B)
NextEra Energy
NiSource
"Nike, Inc."
Nordson Corporation
Norfolk Southern Railway
Northern Trust
Northrop Grumman
Norwegian Cruise Line Holdings
Nucor
Nvidia
O'Reilly Auto Parts
ON Semiconductor
ONEOK
Occidental Petroleum
Old Dominion
Omnicom Group
Oracle Corporation
Organon & Co.
Otis Worldwide
PG&E Corporation
PNC Financial Services
PPG Industries
PPL Corporation
PTC
Paccar
Packaging Corporation of America
Paramount Global
Parker Hannifin
PayPal
Paychex
Paycom
Pentair
PepsiCo
Pfizer
Philip Morris International
Phillips 66
Pinnacle West
Pioneer Natural Resources
Pool Corporation
Principal Financial Group
Procter & Gamble
Progressive Corporation
Prologis
Prudential Financial
Public Service Enterprise Group
Public Storage
PulteGroup
Qorvo
Qualcomm
Quanta Services
Quest Diagnostics
Ralph Lauren Corporation
Raymond James
Raytheon Technologies
Realty Income
Regency Centers
Regeneron
Regions Financial Corporation
Republic Services
ResMed
Revvity
Robert Half
Rockwell Automation
"Rollins, Inc."
Roper Technologies
Ross Stores
Royal Caribbean Group
S&P Global
SBA Communications
Salesforce
Schlumberger
Seagate Technology
Sealed Air
Sempra Energy
ServiceNow
Sherwin-Williams
Simon Property Group
Skyworks Solutions
Snap-on
SolarEdge
Southern Company
Southwest Airlines
Stanley Black & Decker
Starbucks
State Street Corporation
Steel Dynamics
Steris
Stryker Corporation
Synchrony Financial
Synopsys
Sysco
T-Mobile US
T. Rowe Price
TE Connectivity
TJX Companies
Take-Two Interactive
"Tapestry, Inc."
Targa Resources
Target Corporation
Teledyne Technologies
Teleflex
Teradyne
"Tesla, Inc."
Texas Instruments
Textron
Thermo Fisher Scientific
Tractor Supply
Trane Technologies
TransDigm Group
Travelers Companies (The)
Trimble Inc.
Truist
Tyler Technologies
Tyson Foods
U.S. Bank
"UDR, Inc."
Ulta Beauty
Union Pacific Corporation
United Airlines Holdings
United Parcel Service
United Rentals
UnitedHealth Group
Universal Health Services
VF Corporation
Valero Energy
Ventas
Verisign
Verisk
Verizon
Vertex Pharmaceuticals
Viatris
Vici Properties
Visa Inc.
Vulcan Materials Company
W. W. Grainger
WEC Energy Group
Wabtec
Walgreens Boots Alliance
Walmart
Warner Bros. Discovery
Waste Management
Waters Corporation
Wells Fargo
Welltower
West Pharmaceutical Services
WestRock
Western Digital
Weyerhaeuser
Whirlpool Corporation
Williams Companies
Willis Towers Watson
Wynn Resorts
Xcel Energy
Xylem Inc.
Yum! Brands
Zebra Technologies
Zimmer Biomet
Zions Bancorporation
Zoetis
eBay
